Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,gitHub ID,Integration,Owned By
134645479,Pay through credit card,payment,1,"Nov 14, 2016","Nov 27, 2016",feature,,unstarted,"Nov 19, 2016",,,hao guang,"As a casher, I should be able to receive credit card payment",https://www.pivotaltracker.com/story/show/134645479,,,
134645357,Payment through cash,payment,1,"Nov 14, 2016","Nov 27, 2016",feature,,unstarted,"Nov 19, 2016",,,hao guang,"As a casher, I should able to receive cash when the customer pay their bill",https://www.pivotaltracker.com/story/show/134645357,,,
134637525,Register as a new member,member,1,"Nov 14, 2016","Nov 27, 2016",feature,,unstarted,"Nov 19, 2016",,,hao guang,Staff can help a new customer to  register as a member,https://www.pivotaltracker.com/story/show/134637525,,,
134637563,View member information,member,1,"Nov 14, 2016","Nov 27, 2016",feature,,unstarted,"Nov 19, 2016",,,hao guang,the waiters or manager able to view member information when needed,https://www.pivotaltracker.com/story/show/134637563,,,
134637541,Edit member information,member,1,"Nov 14, 2016","Nov 27, 2016",feature,,unstarted,"Nov 19, 2016",,,hao guang,the system is able to update member information time to time,https://www.pivotaltracker.com/story/show/134637541,,,
134645485,Pay through paywave,payment,,,,feature,,unscheduled,"Nov 19, 2016",,,hao guang,"As a customer, I should be able to pay through the paywave ",https://www.pivotaltracker.com/story/show/134645485,,,
134645231,Calculate priority of the order,order,,,,feature,,unscheduled,"Nov 19, 2016",,,hao guang,The system should able to calculate the priority of the order to help better management of food preparing,https://www.pivotaltracker.com/story/show/134645231,,,
134645211,Send email to supplier for ordering automatically,product,,,,feature,,unscheduled,"Nov 19, 2016",,,hao guang,The system should send email to the supplier automatically if the product in the inventory reached critical level,https://www.pivotaltracker.com/story/show/134645211,,,
134645195,Check inventory quantity,product,,,,feature,,unscheduled,"Nov 19, 2016",,,hao guang,"The system should check the quantity of the inventory, when the product is less than a certain level, the system will show a reminder to add stock",https://www.pivotaltracker.com/story/show/134645195,,,
134637585,Member reward points,member,,,,feature,,unscheduled,"Nov 19, 2016",,,hao guang,the system should automatically calculate member points for every member when they having meal in the restaurant,https://www.pivotaltracker.com/story/show/134637585,,,
134637555,Send promotion for members through email,member,,,,feature,,unscheduled,"Nov 19, 2016",,,hao guang,Manager is able to send promotions to all targeted customers ,https://www.pivotaltracker.com/story/show/134637555,,,
